# index;voltage_out
440;-2.43176e-05
441;-2.45914e-05
442;-2.48753e-05
443;-2.51684e-05
444;-2.54698e-05
445;-2.57784e-05
446;-2.60933e-05
447;-2.64134e-05
448;-2.67378e-05
449;-2.70652e-05
450;-2.73946e-05
451;-2.7725e-05
452;-2.80552e-05
453;-2.83842e-05
454;-2.87108e-05
455;-2.9034e-05
456;-2.93527e-05
457;-2.96659e-05
458;-2.99725e-05
459;-3.02715e-05
460;-3.05619e-05
461;-3.08428e-05
462;-3.11133e-05
463;-3.13726e-05
464;-3.16198e-05
465;-3.18541e-05
466;-3.20748e-05
467;-3.22812e-05
468;-3.24728e-05
469;-3.2649e-05
470;-3.28093e-05
471;-3.29532e-05
472;-3.30803e-05
473;-3.31905e-05
474;-3.32834e-05
475;-3.33597e-05
476;-3.34175e-05
477;-3.34578e-05
478;-3.34805e-05
479;-3.34859e-05
480;-3.34741e-05
481;-3.34452e-05
482;-3.33997e-05
483;-3.33379e-05
484;-3.32603e-05
485;-3.31673e-05
486;-3.30596e-05
487;-3.29385e-05
488;-3.28032e-05
489;-3.26552e-05
490;-3.24952e-05
491;-3.2324e-05
492;-3.21426e-05
493;-3.19518e-05
494;-3.17526e-05
495;-3.1546e-05
496;-3.13329e-05
497;-3.11144e-05
498;-3.08916e-05
499;-3.06655e-05
500;-3.04373e-05
501;-3.0208e-05
502;-2.99786e-05
503;-2.97504e-05
504;-2.95244e-05
505;-2.93016e-05
506;-2.90832e-05
507;-2.88703e-05
508;-2.86637e-05
509;-2.84646e-05
510;-2.82739e-05
511;-2.80925e-05
512;-2.79214e-05
513;-2.77614e-05
514;-2.76134e-05
515;-2.74781e-05
516;-2.73562e-05
517;-2.72477e-05
518;-2.71548e-05
519;-2.70772e-05
520;-2.70154e-05
521;-2.69698e-05
522;-2.69408e-05
523;-2.69287e-05
524;-2.69337e-05
525;-2.6956e-05
526;-2.69958e-05
527;-2.7053e-05
528;-2.71277e-05
529;-2.72188e-05
530;-2.73278e-05
531;-2.74538e-05
532;-2.75963e-05
533;-2.77551e-05
534;-2.79297e-05
535;-2.81196e-05
536;-2.83244e-05
537;-2.85433e-05
538;-2.87756e-05
539;-2.90208e-05
540;-2.9278e-05
541;-2.95464e-05
542;-2.98251e-05
543;-3.01132e-05
544;-3.04098e-05
545;-3.0714e-05
546;-3.10246e-05
547;-3.13407e-05
548;-3.16613e-05
549;-3.19852e-05
550;-3.23115e-05
551;-3.26389e-05
552;-3.29663e-05
553;-3.32928e-05
554;-3.36172e-05
555;-3.39384e-05
556;-3.42554e-05
557;-3.4567e-05
558;-3.48723e-05
559;-3.51702e-05
560;-3.54597e-05
561;-3.574e-05
562;-3.601e-05
563;-3.6269e-05
564;-3.6516e-05
565;-3.67503e-05
566;-3.69711e-05
567;-3.71779e-05
568;-3.73698e-05
569;-3.75464e-05
570;-3.77072e-05
571;-3.78518e-05
572;-3.79796e-05
573;-3.80905e-05
574;-3.81841e-05
575;-3.82611e-05
576;-3.83196e-05
577;-3.83605e-05
578;-3.83839e-05
579;-3.83899e-05
580;-3.83785e-05
581;-3.835e-05
582;-3.83048e-05
583;-3.82432e-05
584;-3.81656e-05
585;-3.80725e-05
586;-3.79645e-05
587;-3.7843e-05
588;-3.7707e-05
589;-3.75582e-05
590;-3.73972e-05
591;-3.72248e-05
592;-3.70419e-05
593;-3.68494e-05
594;-3.66483e-05
595;-3.64395e-05
596;-3.6224e-05
597;-3.60029e-05
598;-3.57773e-05
599;-3.55481e-05
600;-3.53164e-05
601;-3.50835e-05
602;-3.48503e-05
603;-3.46179e-05
604;-3.43876e-05
605;-3.41602e-05
606;-3.3937e-05
607;-3.37189e-05
608;-3.35071e-05
609;-3.33025e-05
610;-3.31061e-05
611;-3.29189e-05
612;-3.27417e-05
613;-3.25755e-05
614;-3.24211e-05
615;-3.22793e-05
616;-3.21507e-05
617;-3.20354e-05
618;-3.19356e-05
619;-3.1851e-05
620;-3.17821e-05
621;-3.17293e-05
622;-3.16932e-05
623;-3.16738e-05
624;-3.16717e-05
625;-3.16868e-05
626;-3.17193e-05
627;-3.17694e-05
628;-3.18369e-05
629;-3.1921e-05
630;-3.2023e-05
631;-3.2142e-05
632;-3.22777e-05
633;-3.24298e-05
634;-3.25979e-05
635;-3.27814e-05
636;-3.29799e-05
